filing_id,politician,member_status,state_district,source_pdf,source_year,needs_review,original_pdf_url,review_level,review_reason,pages_with_words,pages_with_geometry,table_pages,recovered_pages,suspected_missed_pages,geometry_error
8218029,,,,8218029.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218029.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218030,,,,8218030.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218030.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218031,,,,8218031.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218031.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218040,,,,8218040.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218040.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218054,,,,8218054.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218054.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218059,,,,8218059.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218059.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218062,,,,8218062.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218062.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218078,,,,8218078.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218078.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218082,,,,8218082.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218082.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218083,,,,8218083.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218083.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218108,,,,8218108.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218108.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218109,,,,8218109.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218109.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218110,,,,8218110.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218110.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218111,,,,8218111.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218111.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218112,,,,8218112.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218112.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218113,,,,8218113.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218113.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218114,,,,8218114.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218114.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218126,,,,8218126.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218126.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218132,,,,8218132.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218132.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218139,,,,8218139.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218139.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218140,,,,8218140.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218140.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218144,,,,8218144.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218144.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218147,,,,8218147.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218147.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218157,,,,8218157.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218157.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218167,,,,8218167.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218167.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218182,,,,8218182.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218182.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218183,,,,8218183.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218183.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218196,,,,8218196.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218196.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218220,,,,8218220.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218220.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218261,,,,8218261.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218261.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218262,,,,8218262.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218262.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218296,,,,8218296.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218296.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218297,,,,8218297.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218297.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218311,,,,8218311.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218311.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218312,,,,8218312.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218312.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218321,,,,8218321.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218321.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218328,,,,8218328.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218328.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218329,,,,8218329.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218329.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218330,,,,8218330.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218330.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218338,,,,8218338.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218338.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218358,,,,8218358.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218358.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218359,,,,8218359.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218359.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218370,,,,8218370.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218370.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218371,,,,8218371.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218371.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218372,,,,8218372.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218372.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218373,,,,8218373.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218373.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218374,,,,8218374.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218374.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218375,,,,8218375.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218375.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218376,,,,8218376.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218376.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218379,,,,8218379.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218379.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218380,,,,8218380.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218380.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218381,,,,8218381.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218381.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218386,,,,8218386.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218386.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218397,,,,8218397.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218397.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218398,,,,8218398.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218398.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218405,,,,8218405.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218405.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218408,,,,8218408.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218408.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218410,,,,8218410.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218410.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218411,,,,8218411.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218411.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218413,,,,8218413.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218413.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218414,,,,8218414.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218414.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218417,,,,8218417.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218417.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218424,,,,8218424.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218424.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218426,,,,8218426.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218426.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218433,,,,8218433.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218433.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218436,,,,8218436.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218436.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218441,,,,8218441.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218441.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218442,,,,8218442.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218442.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218460,,,,8218460.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218460.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218477,,,,8218477.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218477.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218478,,,,8218478.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218478.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218481,,,,8218481.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218481.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
8218489,,,,8218489.pdf,2021,True,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8218489.pdf,high,scanned/image PDF or no embedded text; needs OCR/MinerU/AI fallback,0,0,0,,,
